inst/#,actual,predicted,probability
67,1.0,0.000,1.0
68,1.0,1.000,0.625
69,0.0,0.000,0.9244164953440561
70,1.0,0.000,0.7284587378640777
71,0.0,0.000,0.9923550647695901
72,0.0,0.000,0.9244164953440561
73,0.0,0.000,0.9923550647695901
74,0.0,0.000,0.9244164953440561
75,0.0,0.000,0.9923550647695901
76,0.0,0.000,0.9244164953440561
77,0.0,0.000,0.9244164953440561
78,1.0,0.000,0.5948018747337026
79,0.0,0.000,0.9923550647695901
80,0.0,0.000,0.9244164953440561
81,0.0,1.000,0.625
82,0.0,0.000,1.0
83,0.0,0.000,0.9923550647695901
84,0.0,0.000,0.9244164953440561
85,0.0,0.000,0.9244164953440561
86,0.0,0.000,0.9244164953440561
87,0.0,0.000,0.9923550647695901
88,0.0,0.000,0.8901808785529716
89,0.0,0.000,0.8901808785529716
90,0.0,0.000,0.9244164953440561
91,1.0,0.000,0.5948018747337026
92,0.0,0.000,0.9244164953440561
93,0.0,0.000,0.9923550647695901
94,0.0,0.000,0.9923550647695901
95,0.0,0.000,0.7284587378640777
96,0.0,0.000,0.9923550647695901
97,1.0,0.000,0.7284587378640777
98,0.0,0.000,0.7284587378640777
99,0.0,0.000,0.9244164953440561
100,0.0,1.000,1.0
101,0.0,0.000,0.9923550647695901
102,1.0,0.000,0.7284587378640777
103,0.0,0.000,0.9923550647695901
104,0.0,0.000,0.7284587378640777
105,0.0,0.000,0.9244164953440561
106,0.0,0.000,0.9244164953440561
107,0.0,0.000,0.9244164953440561
108,0.0,0.000,0.9923550647695901
109,0.0,0.000,0.9244164953440561
110,1.0,0.000,0.9090909090909091
111,0.0,1.000,1.0
112,0.0,0.000,0.8901808785529716
113,0.0,0.000,0.9923550647695901
114,1.0,0.000,0.5
115,0.0,0.000,0.5948018747337026
116,1.0,1.000,0.6666666666666666
117,1.0,1.000,1.0
118,0.0,0.000,0.9244164953440561
119,0.0,0.000,0.9923550647695901
120,1.0,0.000,0.9244164953440561
121,0.0,0.000,0.9923550647695901
122,0.0,0.000,0.9244164953440561
123,0.0,0.000,0.9923550647695901
124,0.0,0.000,0.5948018747337026
125,1.0,0.000,0.9244164953440561
126,0.0,1.000,0.7272727272727273
127,0.0,0.000,0.7284587378640777
128,0.0,0.000,0.9923550647695901
129,0.0,0.000,0.9244164953440561
130,0.0,0.000,0.9923550647695901
131,0.0,0.000,0.9244164953440561
132,0.0,0.000,0.9244164953440561
133,0.0,0.000,0.9244164953440561
134,0.0,0.000,0.9244164953440561
135,0.0,0.000,0.7284587378640777
136,0.0,0.000,0.9244164953440561
137,0.0,0.000,0.9923550647695901
138,0.0,0.000,0.9244164953440561
139,0.0,0.000,0.9923550647695901
140,0.0,0.000,0.9244164953440561
141,0.0,0.000,0.9923550647695901
142,0.0,0.000,0.9244164953440561
143,1.0,0.000,0.9244164953440561
144,0.0,0.000,0.9244164953440561
145,0.0,0.000,0.7284587378640777
146,0.0,0.000,0.8901808785529716
147,0.0,0.000,0.7284587378640777
148,0.0,0.000,0.9244164953440561
149,0.0,0.000,0.9923550647695901
150,0.0,0.000,0.9244164953440561
151,0.0,0.000,0.9923550647695901
152,0.0,0.000,0.9244164953440561
153,0.0,0.000,0.5948018747337026
154,0.0,0.000,0.9244164953440561
155,0.0,0.000,0.9244164953440561
156,0.0,0.000,0.7284587378640777
157,0.0,0.000,0.7284587378640777
158,0.0,0.000,0.9244164953440561
159,1.0,0.000,1.0
160,1.0,1.000,1.0
161,0.0,0.000,0.9923550647695901
162,0.0,0.000,0.7284587378640777
163,1.0,1.000,1.0
164,0.0,0.000,0.9923550647695901
165,0.0,0.000,1.0
166,1.0,1.000,0.6666666666666666
167,0.0,0.000,0.9923550647695901
168,1.0,0.000,0.9244164953440561
169,0.0,0.000,0.5948018747337026
170,0.0,0.000,0.9923550647695901
171,0.0,0.000,0.9244164953440561
172,1.0,0.000,0.7272727272727273
173,0.0,0.000,0.7284587378640777
174,0.0,1.000,0.5454545454545454
175,1.0,0.000,0.5948018747337026
176,0.0,0.000,0.9244164953440561
177,0.0,0.000,0.9923550647695901
178,0.0,0.000,0.9923550647695901
179,0.0,0.000,0.9244164953440561
180,0.0,0.000,0.5948018747337026
181,0.0,0.000,0.9244164953440561
182,0.0,0.000,0.9244164953440561
183,0.0,0.000,0.7284587378640777
184,0.0,0.000,0.5948018747337026
185,0.0,0.000,0.9244164953440561
186,0.0,0.000,1.0
187,0.0,0.000,0.9244164953440561
188,0.0,0.000,0.9244164953440561
189,0.0,0.000,0.7284587378640777
190,0.0,0.000,0.9244164953440561
191,0.0,0.000,0.9244164953440561
192,0.0,0.000,0.7284587378640777
193,0.0,0.000,0.9923550647695901
194,0.0,0.000,0.9923550647695901
195,0.0,0.000,0.9244164953440561
196,0.0,0.000,0.9923550647695901
197,0.0,1.000,1.0
198,0.0,0.000,0.9244164953440561
199,0.0,0.000,0.9923550647695901
200,0.0,0.000,0.5948018747337026
201,0.0,0.000,0.7284587378640777
202,0.0,0.000,0.9244164953440561
203,0.0,0.000,0.9923550647695901
204,0.0,0.000,0.9244164953440561
205,1.0,0.000,0.9244164953440561
